[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -16,          6,    7,         -8.02,          3.30,       1.42,      14.22,     46.91,          1.30
        -16,          7,    1,         -9.97,          3.30,       1.21,      12.12,     39.99,          2.68
        -16,          7,    2,         -8.94,          3.30,       1.28,      12.81,     42.25,          2.12
        -16,          7,    3,         -8.30,          3.30,       1.34,      13.37,     44.09,          1.88
        -16,          7,    4,         -7.87,          3.30,       1.38,      13.85,     45.67,          1.73
        -16,          7,    5,         -7.57,          3.30,       1.43,      14.29,     47.13,          1.61
        -16,          7,    6,         -7.36,          3.30,       1.47,      14.71,     48.52,          1.50
        -16,          7,    7,         -7.09,          3.30,       1.51,      15.05,     49.63,          1.46
        -15,          1,    1,        -21.30,          3.30,       0.91,       9.10,     30.02,          0.47
        -15,          1,    2,        -19.46,          3.30,       0.95,       9.49,     31.29,          0.40
        -15,          1,    3,        -17.98,          3.30,       0.98,       9.82,     32.40,          0.40
        -15,          1,    4,        -17.03,          3.30,       1.02,      10.17,     33.53,          0.39
        -15,          1,    5,        -16.10,          3.30,       1.05,      10.46,     34.50,          0.41
        -15,          1,    6,        -15.34,          3.30,       1.08,      10.78,     35.57,          0.41
        -15,          1,    7,        -14.64,          3.30,       1.12,      11.12,     36.67,          0.42
        -15,          2,    1,        -18.91,          3.30,       0.94,       9.39,     30.97,          0.97
        -15,          2,    2,        -17.30,          3.30,       0.98,       9.81,     32.36,          0.69
        -15,          2,    3,        -16.05,          3.30,       1.02,      10.18,     33.59,          0.63
        -15,          2,    4,        -14.89,          3.30,       1.06,      10.54,     34.77,          0.63
        -15,          2,    5,        -14.21,          3.30,       1.09,      10.93,     36.06,          0.59
        -15,          2,    6,        -13.50,          3.30,       1.13,      11.30,     37.27,          0.59
        -15,          2,    7,        -12.87,          3.30,       1.16,      11.62,     38.33,          0.59
        -15,          3,    1,        -16.00,          3.30,       0.99,       9.87,     32.55,          1.33
        -15,          3,    2,        -14.63,          3.30,       1.04,      10.35,     34.13,          0.99
        -15,          3,    3,        -13.48,          3.30,       1.08,      10.78,     35.54,          0.92
        -15,          3,    4,        -12.74,          3.30,       1.12,      11.23,     37.03,          0.83
        -15,          3,    5,        -12.18,          3.30,       1.16,      11.58,     38.19,          0.80
        -15,          3,    6,        -11.72,          3.30,       1.19,      11.93,     39.36,          0.77
        -15,          3,    7,        -11.22,          3.30,       1.23,      12.26,     40.44,          0.77
        -15,          4,    1,        -14.01,          3.30,       1.04,      10.36,     34.18,          1.66
        -15,          4,    2,        -12.82,          3.30,       1.09,      10.89,     35.93,          1.26
        -15,          4,    3,        -11.91,          3.30,       1.14,      11.40,     37.60,          1.11
        -15,          4,    4,        -11.27,          3.30,       1.18,      11.76,     38.80,          1.07
        -15,          4,    5,        -10.73,          3.30,       1.21,      12.16,     40.10,          1.02
        -15,          4,    6,        -10.27,          3.30,       1.25,      12.54,     41.38,          0.98
        -15,          4,    7,         -9.91,          3.30,       1.29,      12.91,     42.59,          0.95
        -15,          5,    1,        -11.96,          3.30,       1.11,      11.09,     36.59,          1.97
        -15,          5,    2,        -10.84,          3.30,       1.17,      11.65,     38.43,          1.62
        -15,          5,    3,        -10.09,          3.30,       1.22,      12.19,     40.22,          1.43
        -15,          5,    4,         -9.56,          3.30,       1.26,      12.63,     41.68,          1.33
        -15,          5,    5,         -9.13,          3.30,       1.30,      13.02,     42.96,          1.27
        -15,          5,    6,         -8.81,          3.30,       1.34,      13.41,     44.24,          1.21
        -15,          5,    7,         -8.55,          3.30,       1.37,      13.75,     45.35,          1.16
        -15,          6,    1,        -10.60,          3.30,       1.17,      11.70,     38.60,          2.49
        -15,          6,    2,         -9.63,          3.30,       1.23,      12.33,     40.66,          1.96
        -15,          6,    3,         -8.98,          3.30,       1.29,      12.84,     42.37,          1.74
        -15,          6,    4,         -8.49,          3.30,       1.33,      13.29,     43.83,          1.62
        -15,          6,    5,         -8.13,          3.30,       1.37,      13.71,     45.20,          1.52
        -15,          6,    6,         -7.83,          3.30,       1.41,      14.09,     46.48,          1.45
        -15,          6,    7,         -7.60,          3.30,       1.45,      14.50,     47.83,          1.37
        -15,          7,    1,         -9.55,          3.30,       1.23,      12.34,     40.69,          2.93
        -15,          7,    2,         -8.58,          3.30,       1.30,      13.04,     43.00,          2.28
        -15,          7,    3,         -7.94,          3.30,       1.36,      13.62,     44.92,          2.00
        -15,          7,    4,         -7.48,          3.30,       1.41,      14.09,     46.45,          1.87
        -15,          7,    5,         -7.16,          3.30,       1.46,      14.54,     47.94,          1.74
        -15,          7,    6,         -6.91,          3.30,       1.49,      14.92,     49.24,          1.65
        -15,          7,    7,         -6.71,          3.30,       1.53,      15.36,     50.65,          1.55
        -14,          1,    1,        -20.67,          3.30,       0.92,       9.12,     30.11,          0.60
        -14,          1,    2,        -19.11,          3.30,       0.96,       9.57,     31.59,          0.42
        -14,          1,    3,        -17.71,          3.30,       0.99,       9.89,     32.64,          0.43
        -14,          1,    4,        -16.41,          3.30,       1.02,      10.28,     33.90,          0.44
        -14,          1,    5,        -15.74,          3.30,       1.06,      10.58,     34.89,          0.43
        -14,          1,    6,        -14.83,          3.30,       1.09,      10.89,     35.93,          0.45
        -14,          1,    7,        -14.24,          3.30,       1.12,      11.24,     37.10,          0.45
        -14,          2,    1,        -18.36,          3.30,       0.95,       9.50,     31.33,          1.07
        -14,          2,    2,        -16.75,          3.30,       0.99,       9.94,     32.77,          0.75
        -14,          2,    3,        -15.44,          3.30,       1.03,      10.33,     34.08,          0.69
        -14,          2,    4,        -14.51,          3.30,       1.07,      10.69,     35.27,          0.67
        -14,          2,    5,        -13.64,          3.30,       1.11,      11.09,     36.59,          0.65
        -14,          2,    6,        -13.02,          3.30,       1.14,      11.44,     37.72,          0.64
        -14,          2,    7,        -12.56,          3.30,       1.18,      11.76,     38.78,          0.63
        -14,          3,    1,        -15.47,          3.30,       1.00,      10.02,     33.04,          1.44
        -14,          3,    2,        -14.05,          3.30,       1.05,      10.48,     34.58,          1.12
        -14,          3,    3,        -13.03,          3.30,       1.09,      10.94,     36.10,          0.99
        -14,          3,    4,        -12.22,          3.30,       1.14,      11.39,     37.55,          0.92
        -14,          3,    5,        -11.66,          3.30,       1.18,      11.74,     38.73,          0.89
        -14,          3,    6,        -11.16,          3.30,       1.21,      12.11,     39.96,          0.86
        -14,          3,    7,        -10.71,          3.30,       1.25,      12.45,     41.08,          0.85
        -14,          4,    1,        -13.44,          3.30,       1.05,      10.50,     34.63,          1.88
        -14,          4,    2,        -12.29,          3.30,       1.11,      11.07,     36.53,          1.37
        -14,          4,    3,        -11.41,          3.30,       1.16,      11.59,     38.24,          1.20
        -14,          4,    4,        -10.75,          3.30,       1.20,      12.01,     39.61,          1.14
        -14,          4,    5,        -10.25,          3.30,       1.24,      12.41,     40.93,          1.08
        -14,          4,    6,         -9.82,          3.30,       1.28,      12.79,     42.21,          1.04
        -14,          4,    7,         -9.41,          3.30,       1.31,      13.14,     43.34,          1.03
        -14,          5,    1,        -11.47,          3.30,       1.13,      11.32,     37.33,          2.04
        -14,          5,    2,        -10.31,          3.30,       1.19,      11.89,     39.23,          1.72
        -14,          5,    3,         -9.58,          3.30,       1.24,      12.42,     40.97,          1.54
        -14,          5,    4,         -9.06,          3.30,       1.29,      12.90,     42.54,          1.43
        -14,          5,    5,         -8.58,          3.30,       1.33,      13.32,     43.92,          1.37
        -14,          5,    6,         -8.28,          3.30,       1.37,      13.67,     45.11,          1.32
        -14,          5,    7,         -7.94,          3.30,       1.40,      14.04,     46.30,          1.29
        -14,          6,    1,        -10.03,          3.30,       1.20,      11.96,     39.47,          2.81
        -14,          6,    2,         -9.09,          3.30,       1.26,      12.62,     41.62,          2.17
        -14,          6,    3,         -8.45,          3.30,       1.32,      13.18,     43.48,          1.90
        -14,          6,    4,         -7.90,          3.30,       1.36,      13.65,     45.03,          1.78
        -14,          6,    5,         -7.55,          3.30,       1.40,      14.04,     46.29,          1.70
        -14,          6,    6,         -7.24,          3.30,       1.45,      14.47,     47.72,          1.60
        -14,          6,    7,         -7.00,          3.30,       1.49,      14.84,     48.93,          1.54
        -14,          7,    1,         -8.94,          3.30,       1.26,      12.64,     41.69,          3.17
        -14,          7,    2,         -7.91,          3.30,       1.34,      13.42,     44.25,          2.46
        -14,          7,    3,         -7.33,          3.30,       1.40,      13.99,     46.13,          2.19
        -14,          7,    4,         -6.92,          3.30,       1.45,      14.53,     47.91,          1.98
        -14,          7,    5,         -6.55,          3.30,       1.50,      14.98,     49.40,          1.89
        -14,          7,    6,         -6.34,          3.30,       1.54,      15.37,     50.68,          1.79
        -14,          7,    7,         -6.11,          3.30,       1.58,      15.77,     51.99,          1.71
        -13,          1,    1,        -20.53,          3.30,       0.92,       9.22,     30.43,          0.51
        -13,          1,    2,        -18.58,          3.30,       0.96,       9.63,     31.76,          0.45
        -13,          1,    3,        -17.24,          3.30,       1.00,       9.97,     32.90,          0.45
        -13,          1,    4,        -16.25,          3.30,       1.03,      10.31,     34.02,          0.45
