[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -4,          1,    4,         -6.70,          3.31,       1.66,      16.57,     54.81,          0.69
       -4,          1,    5,         -6.09,          3.31,       1.78,      17.77,     58.77,          0.70
       -4,          1,    6,         -5.65,          3.31,       1.89,      18.86,     62.37,          0.70
       -4,          1,    7,         -5.28,          3.31,       1.99,      19.91,     65.85,          0.70
       -4,          2,    1,        -10.84,          3.31,       1.21,      12.14,     40.16,          0.50
       -4,          2,    2,         -7.65,          3.31,       1.48,      14.80,     48.96,          0.68
       -4,          2,    3,         -6.54,          3.31,       1.67,      16.69,     55.20,          0.71
       -4,          2,    4,         -5.34,          3.31,       1.83,      18.25,     60.38,          0.80
       -4,          2,    5,         -4.77,          3.31,       1.95,      19.50,     64.52,          0.82
       -4,          2,    6,         -4.36,          3.31,       2.06,      20.60,     68.12,          0.82
       -4,          2,    7,         -4.08,          3.31,       2.16,      21.61,     71.48,          0.82
       -4,          3,    1,        -10.02,          3.31,       1.28,      12.80,     42.35,          0.53
       -4,          3,    2,         -6.73,          3.31,       1.59,      15.87,     52.51,          0.74
       -4,          3,    3,         -5.44,          3.31,       1.80,      17.93,     59.31,          0.80
       -4,          3,    4,         -4.85,          3.31,       1.96,      19.56,     64.69,          0.80
       -4,          3,    5,         -4.04,          3.31,       2.07,      20.74,     68.60,          0.88
       -4,          3,    6,         -3.70,          3.31,       2.19,      21.86,     72.30,          0.88
       -4,          3,    7,         -3.47,          3.31,       2.28,      22.82,     75.47,          0.87
       -4,          4,    1,         -9.40,          3.31,       1.35,      13.47,     44.55,          0.55
       -4,          4,    2,         -6.11,          3.31,       1.69,      16.86,     55.79,          0.76
       -4,          4,    3,         -4.74,          3.31,       1.91,      19.08,     63.11,          0.85
       -4,          4,    4,         -4.02,          3.31,       2.06,      20.63,     68.24,          0.89
       -4,          4,    5,         -3.85,          3.31,       2.20,      21.97,     72.65,          0.84
       -4,          4,    6,         -3.20,          3.31,       2.31,      23.11,     76.43,          0.91
       -4,          4,    7,         -2.94,          3.31,       2.42,      24.16,     79.92,          0.90
       -3,          1,    1,        -11.19,          3.31,       1.18,      11.79,     39.01,          0.50
       -3,          1,    2,         -8.10,          3.31,       1.41,      14.14,     46.75,          0.67
       -3,          1,    3,         -6.82,          3.31,       1.58,      15.79,     52.25,          0.73
       -3,          1,    4,         -6.06,          3.31,       1.71,      17.07,     56.46,          0.76
       -3,          1,    5,         -5.47,          3.31,       1.84,      18.38,     60.80,          0.77
       -3,          1,    6,         -5.33,          3.31,       1.95,      19.46,     64.36,          0.72
       -3,          1,    7,         -4.65,          3.31,       2.05,      20.48,     67.75,          0.78
       -3,          2,    1,        -10.20,          3.31,       1.25,      12.47,     41.24,          0.55
       -3,          2,    2,         -6.98,          3.31,       1.53,      15.29,     50.57,          0.75
       -3,          2,    3,         -5.56,          3.31,       1.73,      17.25,     57.06,          0.83
       -3,          2,    4,         -4.69,          3.31,       1.89,      18.88,     62.44,          0.88
       -3,          2,    5,         -4.13,          3.31,       2.02,      20.20,     66.81,          0.90
       -3,          2,    6,         -3.72,          3.31,       2.14,      21.35,     70.63,          0.91
       -3,          2,    7,         -3.48,          3.31,       2.24,      22.35,     73.94,          0.89
       -3,          3,    1,         -9.70,          3.31,       1.32,      13.21,     43.69,          0.54
       -3,          3,    2,         -6.08,          3.31,       1.65,      16.48,     54.51,          0.80
       -3,          3,    3,         -4.67,          3.31,       1.86,      18.66,     61.71,          0.90
       -3,          3,    4,         -3.84,          3.31,       2.03,      20.29,     67.12,          0.95
       -3,          3,    5,         -3.38,          3.31,       2.16,      21.55,     71.28,          0.96
       -3,          3,    6,         -3.04,          3.31,       2.27,      22.68,     75.00,          0.97
       -3,          3,    7,         -2.81,          3.31,       2.37,      23.67,     78.30,          0.96
       -3,          4,    1,         -8.76,          3.31,       1.39,      13.92,     46.03,          0.59
       -3,          4,    2,         -5.73,          3.31,       1.75,      17.51,     57.92,          0.78
       -3,          4,    3,         -4.47,          3.31,       1.99,      19.87,     65.71,          0.85
       -3,          4,    4,         -3.32,          3.31,       2.15,      21.50,     71.10,          0.98
       -3,          4,    5,         -2.86,          3.31,       2.29,      22.89,     75.70,          0.99
       -3,          4,    6,         -2.54,          3.31,       2.40,      24.02,     79.43,          1.00
       -3,          4,    7,         -2.28,          3.31,       2.52,      25.17,     83.24,          0.99
       -2,          1,    1,        -10.05,          3.31,       1.23,      12.34,     40.82,          0.58
       -2,          1,    2,         -6.94,          3.31,       1.50,      14.98,     49.55,          0.79
       -2,          1,    3,         -5.78,          3.31,       1.67,      16.73,     55.32,          0.84
       -2,          1,    4,         -5.25,          3.31,       1.82,      18.15,     60.06,          0.82
       -2,          1,    5,         -4.29,          3.31,       1.95,      19.48,     64.44,          0.92
       -2,          1,    6,         -3.86,          3.31,       2.06,      20.61,     68.18,          0.93
       -2,          1,    7,         -3.50,          3.31,       2.17,      21.72,     71.84,          0.93
       -2,          2,    1,         -9.04,          3.31,       1.32,      13.16,     43.53,          0.63
       -2,          2,    2,         -5.81,          3.31,       1.63,      16.29,     53.89,          0.87
       -2,          2,    3,         -4.39,          3.31,       1.85,      18.46,     61.05,          0.97
       -2,          2,    4,         -3.54,          3.31,       2.01,      20.14,     66.64,          1.03
       -2,          2,    5,         -3.29,          3.31,       2.16,      21.58,     71.36,          0.98
       -2,          2,    6,         -2.55,          3.31,       2.28,      22.81,     75.43,          1.07
       -2,          2,    7,         -2.27,          3.31,       2.39,      23.88,     78.99,          1.07
       -2,          3,    1,         -8.22,          3.31,       1.39,      13.94,     46.11,          0.67
       -2,          3,    2,         -4.91,          3.31,       1.76,      17.58,     58.16,          0.94
       -2,          3,    3,         -3.49,          3.31,       2.00,      20.03,     66.24,          1.05
       -2,          3,    4,         -2.74,          3.31,       2.18,      21.79,     72.09,          1.10
       -2,          3,    5,         -2.52,          3.31,       2.32,      23.21,     76.75,          1.06
       -2,          3,    6,         -2.26,          3.31,       2.44,      24.34,     80.50,          1.05
       -2,          3,    7,         -1.63,          3.31,       2.54,      25.43,     84.12,          1.14
       -2,          4,    1,         -7.61,          3.31,       1.48,      14.80,     48.97,          0.69
       -2,          4,    2,         -4.27,          3.31,       1.89,      18.87,     62.41,          0.97
       -2,          4,    3,         -2.89,          3.31,       2.14,      21.37,     70.70,          1.09
       -2,          4,    4,         -2.13,          3.31,       2.32,      23.21,     76.76,          1.15
       -2,          4,    5,         -1.68,          3.31,       2.47,      24.72,     81.77,          1.17
       -2,          4,    6,         -1.54,          3.31,       2.59,      25.93,     85.75,          1.13
       -2,          4,    7,         -1.45,          3.31,       2.71,      27.13,     89.71,          1.08
       -1,          1,    1,         -9.51,          3.31,       1.29,      12.90,     42.68,          0.59
       -1,          1,    2,         -5.98,          3.31,       1.57,      15.75,     52.12,          0.89
       -1,          1,    3,         -4.69,          3.31,       1.76,      17.59,     58.18,          0.99
       -1,          1,    4,         -3.94,          3.31,       1.91,      19.11,     63.20,          1.02
       -1,          1,    5,         -3.34,          3.31,       2.05,      20.49,     67.79,          1.05
       -1,          1,    6,         -2.95,          3.31,       2.17,      21.70,     71.79,          1.06
       -1,          1,    7,         -2.81,          3.31,       2.29,      22.92,     75.82,          1.01
       -1,          2,    1,         -8.47,          3.31,       1.37,      13.73,     45.41,          0.65
       -1,          2,    2,         -4.85,          3.31,       1.71,      17.16,     56.76,          0.99
       -1,          2,    3,         -3.43,          3.31,       1.95,      19.53,     64.58,          1.11
       -1,          2,    4,         -2.56,          3.31,       2.14,      21.37,     70.69,          1.18
       -1,          2,    5,         -2.00,          3.31,       2.29,      22.87,     75.64,          1.21
       -1,          2,    6,         -1.59,          3.31,       2.42,      24.16,     79.93,          1.23
       -1,          2,    7,         -1.33,          3.31,       2.54,      25.35,     83.84,          1.22
       -1,          3,    1,         -7.55,          3.31,       1.47,      14.67,     48.54,          0.71
       -1,          3,    2,         -4.32,          3.31,       1.87,      18.66,     61.72,          0.97
       -1,          3,    3,         -2.52,          3.31,       2.13,      21.27,     70.37,          1.20
       -1,          3,    4,         -1.69,          3.31,       2.32,      23.22,     76.81,          1.27
       -1,          3,    5,         -1.23,          3.31,       2.47,      24.69,     81.66,          1.30
       -1,          3,    6,         -0.89,          3.31,       2.59,      25.93,     85.75,          1.31
       -1,          3,    7,         -0.67,          3.31,       2.70,      27.04,     89.43,          1.30
       -1,          4,    1,         -6.67,          3.31,       1.56,      15.59,     51.57,          0.77
       -1,          4,    2,         -3.34,          3.31,       2.01,      20.06,     66.36,          1.09
       -1,          4,    3,         -2.25,          3.31,       2.28,      22.80,     75.42,          1.15
       -1,          4,    4,         -1.15,          3.31,       2.48,      24.83,     82.10,          1.31
       -1,          4,    5,         -0.70,          3.31,       2.64,      26.36,     87.20,          1.34
       -1,          4,    6,         -0.37,          3.31,       2.77,      27.67,     91.52,          1.35
       -1,          4,    7,         -0.12,          3.31,       2.89,      28.94,     95.71,          1.35
        0,          1,    1,         -8.24,          3.31,       1.34,      13.41,     44.37,          0.73
        0,          1,    2,         -5.08,          3.31,       1.65,      16.54,     54.71,          1.01
        0,          1,    3,         -3.78,          3.31,       1.86,      18.53,     61.31,          1.12
        0,          1,    4,         -3.10,          3.31,       2.01,      20.12,     66.55,          1.15
        0,          1,    5,         -2.76,          3.31,       2.16,      21.58,     71.39,          1.11
        0,          1,    6,         -2.01,          3.31,       2.29,      22.91,     75.78,          1.21
        0,          1,    7,         -1.65,          3.31,       2.41,      24.09,     79.67,          1.22
        0,          2,    1,         -7.24,          3.31,       1.44,      14.37,     47.52,          0.79
        0,          2,    2,         -3.95,          3.31,       1.81,      18.12,     59.93,          1.11
        0,          2,    3,         -2.52,          3.31,       2.06,      20.60,     68.13,          1.26
        0,          2,    4,         -1.65,          3.31,       2.26,      22.59,     74.70,          1.34
        0,          2,    5,         -1.11,          3.31,       2.42,      24.22,     80.09,          1.37
        0,          2,    6,         -0.94,          3.31,       2.57,      25.64,     84.80,          1.32
        0,          2,    7,         -0.40,          3.31,       2.69,      26.84,     88.76,          1.40
        0,          3,    1,         -6.42,          3.31,       1.54,      15.38,     50.86,          0.84
        0,          3,    2,         -3.05,          3.31,       1.98,      19.79,     65.46,          1.19
        0,          3,    3,         -1.60,          3.31,       2.26,      22.57,     74.64,          1.36
        0,          3,    4,         -0.78,          3.31,       2.47,      24.73,     81.79,          1.44
        0,          3,    5,         -0.32,          3.31,       2.63,      26.29,     86.95,          1.47
        0,          3,    6,         -0.19,          3.31,       2.76,      27.56,     91.15,          1.42
        0,          3,    7,         -0.14,          3.31,       2.87,      28.75,     95.06,          1.36
        0,          4,    1,         -5.79,          3.31,       1.64,      16.40,     54.23,          0.86
        0,          4,    2,         -2.40,          3.31,       2.13,      21.32,     70.53,          1.23
        0,          4,    3,         -0.99,          3.31,       2.43,      24.31,     80.40,          1.40
