[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -6,          4,    7,         -5.26,          3.31,       2.13,      21.29,     70.40,          0.63
       -5,          1,    1,        -12.51,          3.31,       1.13,      11.26,     37.26,          0.42
       -5,          1,    2,         -9.43,          3.31,       1.33,      13.35,     44.17,          0.56
       -5,          1,    3,         -8.14,          3.31,       1.48,      14.80,     48.97,          0.61
       -5,          1,    4,         -7.37,          3.31,       1.61,      16.05,     53.10,          0.62
       -5,          1,    5,         -6.83,          3.31,       1.72,      17.20,     56.90,          0.63
       -5,          1,    6,         -6.67,          3.31,       1.83,      18.28,     60.46,          0.59
       -5,          1,    7,         -5.94,          3.31,       1.93,      19.26,     63.69,          0.64
       -5,          2,    1,        -11.52,          3.31,       1.18,      11.79,     39.01,          0.46
       -5,          2,    2,         -8.31,          3.31,       1.43,      14.31,     47.33,          0.62
       -5,          2,    3,         -6.89,          3.31,       1.61,      16.12,     53.30,          0.69
       -5,          2,    4,         -6.01,          3.31,       1.75,      17.51,     57.93,          0.73
       -5,          2,    5,         -5.45,          3.31,       1.88,      18.79,     62.16,          0.74
       -5,          2,    6,         -5.03,          3.31,       1.99,      19.93,     65.91,          0.74
       -5,          2,    7,         -4.78,          3.31,       2.08,      20.83,     68.89,          0.74
       -5,          3,    1,        -10.98,          3.31,       1.24,      12.43,     41.11,          0.46
       -5,          3,    2,         -7.81,          3.31,       1.53,      15.29,     50.59,          0.61
       -5,          3,    3,         -6.01,          3.31,       1.72,      17.23,     57.00,          0.75
       -5,          3,    4,         -5.19,          3.31,       1.88,      18.80,     62.17,          0.79
       -5,          3,    5,         -4.72,          3.31,       2.00,      20.00,     66.14,          0.79
       -5,          3,    6,         -4.38,          3.31,       2.10,      21.03,     69.55,          0.79
       -5,          3,    7,         -4.14,          3.31,       2.20,      21.95,     72.60,          0.79
       -5,          4,    1,        -10.08,          3.31,       1.31,      13.06,     43.19,          0.50
       -5,          4,    2,         -6.93,          3.31,       1.63,      16.27,     53.80,          0.67
       -5,          4,    3,         -5.81,          3.31,       1.83,      18.30,     60.53,          0.71
       -5,          4,    4,         -4.67,          3.31,       1.99,      19.86,     65.70,          0.81
       -5,          4,    5,         -4.21,          3.31,       2.11,      21.06,     69.66,          0.82
       -5,          4,    6,         -3.88,          3.31,       2.21,      22.14,     73.24,          0.82
       -5,          4,    7,         -3.63,          3.31,       2.32,      23.20,     76.73,          0.82
       -4,          1,    1,        -11.81,          3.31,       1.15,      11.52,     38.10,          0.46
       -4,          1,    2,         -8.73,          3.31,       1.37,      13.76,     45.52,          0.62
       -4,          1,    3,         -7.54,          3.31,       1.53,      15.29,     50.58,          0.66
       -4,          1,    4,         -7.03,          3.31,       1.66,      16.57,     54.80,          0.64
       -4,          1,    5,         -6.07,          3.31,       1.78,      17.76,     58.76,          0.71
       -4,          1,    6,         -5.63,          3.31,       1.88,      18.84,     62.30,          0.71
       -4,          1,    7,         -5.26,          3.31,       1.99,      19.91,     65.84,          0.71
       -4,          2,    1,        -10.81,          3.31,       1.21,      12.13,     40.14,          0.50
       -4,          2,    2,         -7.60,          3.31,       1.48,      14.80,     48.95,          0.69
       -4,          2,    3,         -6.19,          3.31,       1.67,      16.67,     55.14,          0.76
       -4,          2,    4,         -5.32,          3.31,       1.82,      18.20,     60.19,          0.81
       -4,          2,    5,         -4.76,          3.31,       1.95,      19.50,     64.50,          0.82
       -4,          2,    6,         -4.60,          3.31,       2.06,      20.60,     68.12,          0.78
       -4,          2,    7,         -4.05,          3.31,       2.16,      21.60,     71.46,          0.82
       -4,          3,    1,        -10.00,          3.31,       1.28,      12.82,     42.42,          0.53
       -4,          3,    2,         -6.71,          3.31,       1.59,      15.89,     52.57,          0.74
       -4,          3,    3,         -5.30,          3.31,       1.79,      17.94,     59.33,          0.83
       -4,          3,    4,         -4.48,          3.31,       1.96,      19.54,     64.63,          0.87
       -4,          3,    5,         -4.01,          3.31,       2.07,      20.75,     68.63,          0.88
       -4,          3,    6,         -3.67,          3.31,       2.18,      21.86,     72.29,          0.88
       -4,          3,    7,         -3.44,          3.31,       2.28,      22.81,     75.44,          0.87
       -4,          4,    1,         -9.38,          3.31,       1.35,      13.50,     44.65,          0.55
       -4,          4,    2,         -6.25,          3.31,       1.69,      16.86,     55.78,          0.74
       -4,          4,    3,         -5.07,          3.31,       1.91,      19.07,     63.09,          0.79
       -4,          4,    4,         -3.95,          3.31,       2.06,      20.65,     68.29,          0.90
       -4,          4,    5,         -3.50,          3.31,       2.20,      21.95,     72.60,          0.91
       -4,          4,    6,         -3.17,          3.31,       2.31,      23.12,     76.48,          0.91
       -4,          4,    7,         -2.92,          3.31,       2.41,      24.18,     79.97,          0.91
       -3,          1,    1,        -11.17,          3.31,       1.18,      11.81,     39.06,          0.50
       -3,          1,    2,         -8.08,          3.31,       1.42,      14.16,     46.84,          0.67
       -3,          1,    3,         -6.87,          3.31,       1.58,      15.77,     52.18,          0.72
